Product ID,Product Name,Supplier,Warehouse Location,Demand Forecast,Inventory Level,Lead Time (Days),Transportation Cost ($),Order Quantity,Delivery Time (Days)
P0265,Product_265,Supplier D,Houston,7021,2414,21,363.51,404,12
P0266,Product_266,Supplier A,Los Angeles,9361,1282,16,440.23,720,1
P0267,Product_267,Supplier C,New York,9881,2415,18,288.32,127,11
P0268,Product_268,Supplier D,New York,9613,2781,3,467.11,755,3
P0269,Product_269,Supplier C,Miami,972,3168,29,375.06,672,4
P0270,Product_270,Supplier A,Houston,1585,4282,21,250.97,368,6
P0271,Product_271,Supplier C,New York,385,3729,5,363.78,533,13
P0272,Product_272,Supplier B,Chicago,168,4714,8,351.33,177,10
P0273,Product_273,Supplier B,Miami,552,1863,14,395.66,712,1
P0274,Product_274,Supplier B,Houston,8614,863,27,415.3,132,3
P0275,Product_275,Supplier B,New York,4688,2046,21,282.7,625,2
P0276,Product_276,Supplier A,New York,8573,4908,22,332.46,352,14
P0277,Product_277,Supplier D,Houston,2608,1043,16,408.89,828,15
P0278,Product_278,Supplier D,Los Angeles,9413,1099,16,307.0,834,4
P0279,Product_279,Supplier D,Houston,6074,30,30,357.76,948,9
P0280,Product_280,Supplier C,Los Angeles,3628,4671,2,384.49,618,6
P0281,Product_281,Supplier A,Los Angeles,7967,1859,10,316.77,812,13
P0282,Product_282,Supplier C,Los Angeles,5895,1969,19,233.78,986,6
P0283,Product_283,Supplier B,Miami,2654,1167,13,318.37,623,13
P0284,Product_284,Supplier B,Chicago,1573,3969,20,119.46,791,14
P0285,Product_285,Supplier A,Chicago,8889,2309,29,141.26,892,3
P0286,Product_286,Supplier C,New York,8952,4583,19,207.34,926,6
P0287,Product_287,Supplier B,Los Angeles,8850,3764,8,101.12,111,11
P0288,Product_288,Supplier A,Los Angeles,3408,3874,15,470.87,186,3
P0289,Product_289,Supplier B,Houston,5560,3159,9,413.79,579,13
P0290,Product_290,Supplier D,Los Angeles,7219,981,5,311.31,682,8
P0291,Product_291,Supplier B,Los Angeles,7105,2297,12,224.65,464,9
P0292,Product_292,Supplier B,Chicago,3884,4722,9,481.12,788,13
P0293,Product_293,Supplier B,Los Angeles,1189,10,15,251.71,483,10
P0294,Product_294,Supplier B,Houston,1805,1693,4,266.26,206,11
P0295,Product_295,Supplier B,Los Angeles,7656,620,22,176.86,581,9
P0296,Product_296,Supplier D,Houston,7754,4718,15,498.12,315,6
P0297,Product_297,Supplier A,Miami,5917,497,30,445.09,678,12
P0298,Product_298,Supplier D,New York,8532,4636,10,74.71,773,5
P0299,Product_299,Supplier C,Los Angeles,2970,1135,2,285.35,58,2
P0300,Product_300,Supplier D,Houston,2447,1700,4,323.71,295,15
P0301,Product_301,Supplier C,Miami,3684,1054,22,369.11,652,6
P0302,Product_302,Supplier B,Miami,1943,1116,5,362.53,271,1
P0303,Product_303,Supplier D,Miami,5534,602,30,148.64,482,14
P0304,Product_304,Supplier D,Los Angeles,1876,4784,14,311.53,725,5
P0305,Product_305,Supplier C,Houston,8906,916,12,284.24,171,13
P0306,Product_306,Supplier A,Houston,2150,42,12,283.38,590,11
P0307,Product_307,Supplier D,Los Angeles,4547,3172,9,470.39,556,4
P0308,Product_308,Supplier A,Los Angeles,7663,4148,17,463.08,576,7
P0309,Product_309,Supplier D,Los Angeles,9859,3678,18,276.59,845,8
P0310,Product_310,Supplier B,Chicago,6881,4527,11,179.55,511,5
P0311,Product_311,Supplier B,Houston,4106,4824,2,454.33,399,12
P0312,Product_312,Supplier C,Los Angeles,4197,3463,30,419.61,596,8
P0313,Product_313,Supplier C,Los Angeles,2186,4449,19,130.22,802,13
P0314,Product_314,Supplier B,New York,2559,4259,6,68.31,670,12
P0315,Product_315,Supplier A,Houston,679,2201,15,442.82,417,15
P0316,Product_316,Supplier C,Houston,9552,2937,29,158.96,852,11
P0317,Product_317,Supplier A,Miami,1208,3839,25,52.49,340,10
P0318,Product_318,Supplier C,New York,9270,4927,30,193.65,511,15
P0319,Product_319,Supplier B,Los Angeles,8884,1048,15,114.69,972,9
P0320,Product_320,Supplier C,Houston,5648,4183,18,443.18,71,10
P0321,Product_321,Supplier C,Los Angeles,304,586,12,67.06,655,14
P0322,Product_322,Supplier C,Los Angeles,1390,1511,22,190.97,492,7
P0323,Product_323,Supplier A,Miami,9870,3436,3,486.29,57,5
P0324,Product_324,Supplier B,Houston,5157,3876,2,299.19,630,14
P0325,Product_325,Supplier B,Los Angeles,1460,1968,9,304.71,808,14
P0326,Product_326,Supplier D,Chicago,5534,1442,3,165.2,750,6
P0327,Product_327,Supplier B,Los Angeles,8951,65,15,185.93,391,6
P0328,Product_328,Supplier A,New York,6911,1373,11,57.43,892,15
P0329,Product_329,Supplier B,Houston,3188,640,24,324.1,120,6
P0330,Product_330,Supplier A,Houston,3056,4326,23,201.83,400,6
P0331,Product_331,Supplier C,Los Angeles,3136,1277,4,231.19,310,8
P0332,Product_332,Supplier B,New York,8857,161,28,400.85,108,9
P0333,Product_333,Supplier B,Houston,7679,1717,19,97.81,82,13
P0334,Product_334,Supplier A,Los Angeles,6425,3362,23,262.42,557,12
P0335,Product_335,Supplier D,New York,4218,159,13,429.29,438,3
P0336,Product_336,Supplier B,Miami,7697,157,27,265.88,627,6
P0337,Product_337,Supplier A,Houston,9495,4086,7,73.82,603,3
P0338,Product_338,Supplier B,Houston,7651,4988,7,68.96,924,2
P0339,Product_339,Supplier D,Los Angeles,2358,3706,24,271.64,359,14
P0340,Product_340,Supplier D,Chicago,6534,231,11,193.08,923,3
P0341,Product_341,Supplier C,Miami,3008,1623,21,62.67,160,5
P0342,Product_342,Supplier D,Chicago,2677,1553,11,170.18,806,10
P0343,Product_343,Supplier B,Miami,5980,3783,15,296.48,379,15
P0344,Product_344,Supplier B,Los Angeles,8008,1879,29,167.52,947,5
P0345,Product_345,Supplier A,Los Angeles,8294,3130,5,385.93,722,15
P0346,Product_346,Supplier B,Los Angeles,2709,4648,13,120.21,203,15
P0347,Product_347,Supplier B,Miami,3966,2047,18,449.48,717,14
P0348,Product_348,Supplier D,Miami,3817,2082,27,428.19,557,6
P0349,Product_349,Supplier A,Los Angeles,9110,1101,29,397.11,835,6
P0350,Product_350,Supplier D,Miami,5099,78,28,284.86,658,12
P0351,Product_351,Supplier C,Chicago,6124,4785,7,118.59,980,12
P0352,Product_352,Supplier A,Miami,3406,4027,4,223.04,180,5
P0353,Product_353,Supplier A,Miami,4554,2174,13,384.63,584,2
P0354,Product_354,Supplier A,New York,6027,4120,30,127.47,120,14
P0355,Product_355,Supplier D,Chicago,8433,3315,3,248.65,913,4
P0356,Product_356,Supplier A,Houston,8509,4055,7,238.45,721,15
P0357,Product_357,Supplier C,Miami,4340,2232,17,259.55,923,3
P0358,Product_358,Supplier C,Chicago,1802,2101,18,398.38,985,9
P0359,Product_359,Supplier C,Houston,6269,793,21,90.35,65,14
P0360,Product_360,Supplier D,Miami,5084,4205,4,389.85,868,3
P0361,Product_361,Supplier D,New York,6044,3873,10,182.54,668,7
P0362,Product_362,Supplier D,Miami,9110,4242,25,166.9,681,11
P0363,Product_363,Supplier D,Chicago,6900,2607,4,458.19,908,13
P0364,Product_364,Supplier A,Los Angeles,5008,1611,9,410.67,736,10
P0365,Product_365,Supplier D,New York,3681,723,20,195.72,332,4
P0366,Product_366,Supplier D,Los Angeles,6610,4418,26,407.02,631,15
P0367,Product_367,Supplier D,Houston,1507,2814,10,208.78,222,2
P0368,Product_368,Supplier B,Los Angeles,7343,1715,2,125.35,275,5
P0369,Product_369,Supplier A,Chicago,5318,490,23,230.61,108,2
P0370,Product_370,Supplier B,Houston,7764,4559,18,469.67,350,5
P0371,Product_371,Supplier B,Houston,3189,265,24,267.89,53,3
P0372,Product_372,Supplier B,Houston,7238,767,26,277.32,812,15
P0373,Product_373,Supplier A,Miami,7151,2809,17,396.84,272,14
P0374,Product_374,Supplier B,Chicago,6080,4936,14,423.82,618,1
P0375,Product_375,Supplier D,Houston,9982,3458,5,170.5,465,3
P0376,Product_376,Supplier B,Houston,3000,1639,6,421.75,438,14
P0377,Product_377,Supplier B,New York,4689,2629,23,399.43,635,2
P0378,Product_378,Supplier B,Chicago,6354,713,3,313.1,762,10
P0379,Product_379,Supplier D,Los Angeles,8128,584,15,199.55,407,11
P0380,Product_380,Supplier D,Houston,7852,3746,12,380.65,611,8
P0381,Product_381,Supplier D,Miami,3789,3327,8,223.21,225,13
P0382,Product_382,Supplier C,New York,1692,3754,19,213.03,414,4
P0383,Product_383,Supplier A,Chicago,920,74,30,345.93,665,7
P0384,Product_384,Supplier D,Houston,9950,1212,2,228.88,678,12
P0385,Product_385,Supplier C,Los Angeles,4872,23,19,251.84,447,8
P0386,Product_386,Supplier C,Miami,5658,4720,23,100.89,171,9
P0387,Product_387,Supplier C,New York,8988,4042,15,115.87,941,15
P0388,Product_388,Supplier D,Miami,3708,3908,2,97.01,780,12
P0389,Product_389,Supplier A,Miami,7172,3835,10,367.17,187,7
P0390,Product_390,Supplier D,Chicago,440,3967,12,148.19,622,5
